incident_source_id,incident_id,source_name,source_url,report_url,source_valid,source_http,source_error,report_valid,report_http,report_error,current_is_active,recommended_action
2,2097,NTSB,https://carol.ntsb.gov/investigations/detail/36176,,True,200,,False,,url_is_none,True,keep
3,2098,NTSB,https://carol.ntsb.gov/investigations/detail/14104,,True,200,,False,,url_is_none,True,keep
4,2099,NTSB,https://carol.ntsb.gov/investigations/detail/7784,,True,200,,False,,url_is_none,True,keep
5,2100,NTSB,https://carol.ntsb.gov/investigations/detail/13914,,True,200,,False,,url_is_none,True,keep
6,2101,NTSB,https://carol.ntsb.gov/investigations/detail/36175,,True,200,,False,,url_is_none,True,keep
7,2102,NTSB,https://carol.ntsb.gov/investigations/detail/26052,,True,200,,False,,url_is_none,True,keep
8,2103,NTSB,https://carol.ntsb.gov/investigations/detail/7783,,True,200,,False,,url_is_none,True,keep
9,2104,NTSB,https://carol.ntsb.gov/investigations/detail/17330,,True,200,,False,,url_is_none,True,keep
10,2105,NTSB,https://carol.ntsb.gov/investigations/detail/25770,,True,200,,False,,url_is_none,True,keep
11,2106,NTSB,https://carol.ntsb.gov/investigations/detail/17491,,True,200,,False,,url_is_none,True,keep
12,2107,NTSB,https://carol.ntsb.gov/investigations/detail/7613,,True,200,,False,,url_is_none,True,keep
13,2108,NTSB,https://carol.ntsb.gov/investigations/detail/26050,,True,200,,False,,url_is_none,True,keep
14,2109,NTSB,https://carol.ntsb.gov/investigations/detail/5022,,True,200,,False,,url_is_none,True,keep
15,2110,NTSB,https://carol.ntsb.gov/investigations/detail/32202,,True,200,,False,,url_is_none,True,keep
16,2111,NTSB,https://carol.ntsb.gov/investigations/detail/26049,,True,200,,False,,url_is_none,True,keep
17,2112,NTSB,https://carol.ntsb.gov/investigations/detail/14101,,True,200,,False,,url_is_none,True,keep
18,2113,NTSB,https://carol.ntsb.gov/investigations/detail/32201,,True,200,,False,,url_is_none,True,keep
19,2114,NTSB,https://carol.ntsb.gov/investigations/detail/7782,,True,200,,False,,url_is_none,True,keep
20,2115,NTSB,https://carol.ntsb.gov/investigations/detail/11423,,True,200,,False,,url_is_none,True,keep
21,2116,NTSB,https://carol.ntsb.gov/investigations/detail/25841,,True,200,,False,,url_is_none,True,keep
22,2117,NTSB,https://carol.ntsb.gov/investigations/detail/17490,,True,200,,False,,url_is_none,True,keep
23,2118,NTSB,https://carol.ntsb.gov/investigations/detail/40744,,True,200,,False,,url_is_none,True,keep
24,2119,NTSB,https://carol.ntsb.gov/investigations/detail/34595,,True,200,,False,,url_is_none,True,keep
25,2120,NTSB,https://carol.ntsb.gov/investigations/detail/35979,,True,200,,False,,url_is_none,True,keep
26,2121,NTSB,https://carol.ntsb.gov/investigations/detail/25840,,True,200,,False,,url_is_none,True,keep
27,2122,NTSB,https://carol.ntsb.gov/investigations/detail/13948,,True,200,,False,,url_is_none,True,keep
28,2123,NTSB,https://carol.ntsb.gov/investigations/detail/5025,,True,200,,False,,url_is_none,True,keep
29,2124,NTSB,https://carol.ntsb.gov/investigations/detail/22495,,True,200,,False,,url_is_none,True,keep
30,2125,NTSB,https://carol.ntsb.gov/investigations/detail/40726,,True,200,,False,,url_is_none,True,keep
31,2126,NTSB,https://carol.ntsb.gov/investigations/detail/5020,,True,200,,False,,url_is_none,True,keep
32,2127,NTSB,https://carol.ntsb.gov/investigations/detail/26047,,True,200,,False,,url_is_none,True,keep
33,2128,NTSB,https://carol.ntsb.gov/investigations/detail/7780,,True,200,,False,,url_is_none,True,keep
34,2129,NTSB,https://carol.ntsb.gov/investigations/detail/7781,,True,200,,False,,url_is_none,True,keep
35,2130,NTSB,https://carol.ntsb.gov/investigations/detail/26048,,True,200,,False,,url_is_none,True,keep
36,2131,NTSB,https://carol.ntsb.gov/investigations/detail/11345,,True,200,,False,,url_is_none,True,keep
37,2132,NTSB,https://carol.ntsb.gov/investigations/detail/22457,,True,200,,False,,url_is_none,True,keep
38,2133,NTSB,https://carol.ntsb.gov/investigations/detail/5019,,True,200,,False,,url_is_none,True,keep
39,2134,NTSB,https://carol.ntsb.gov/investigations/detail/5018,,True,200,,False,,url_is_none,True,keep
40,2135,NTSB,https://carol.ntsb.gov/investigations/detail/22657,,True,200,,False,,url_is_none,True,keep
41,2136,NTSB,https://carol.ntsb.gov/investigations/detail/17489,,True,200,,False,,url_is_none,True,keep
42,2137,NTSB,https://carol.ntsb.gov/investigations/detail/13947,,True,200,,False,,url_is_none,True,keep
43,2138,NTSB,https://carol.ntsb.gov/investigations/detail/25778,,True,200,,False,,url_is_none,True,keep
44,2139,NTSB,https://carol.ntsb.gov/investigations/detail/7779,,True,200,,False,,url_is_none,True,keep
45,2140,NTSB,https://carol.ntsb.gov/investigations/detail/5017,,True,200,,False,,url_is_none,True,keep
46,2141,NTSB,https://carol.ntsb.gov/investigations/detail/34594,,True,200,,False,,url_is_none,True,keep
47,2142,NTSB,https://carol.ntsb.gov/investigations/detail/40838,,True,200,,False,,url_is_none,True,keep
48,2143,NTSB,https://carol.ntsb.gov/investigations/detail/5016,,True,200,,False,,url_is_none,True,keep
49,2144,NTSB,https://carol.ntsb.gov/investigations/detail/32200,,True,200,,False,,url_is_none,True,keep
50,2145,NTSB,https://carol.ntsb.gov/investigations/detail/7639,,True,200,,False,,url_is_none,True,keep
51,2146,NTSB,https://carol.ntsb.gov/investigations/detail/22494,,True,200,,False,,url_is_none,True,keep
52,2147,NTSB,https://carol.ntsb.gov/investigations/detail/32258,,True,200,,False,,url_is_none,True,keep
53,2148,NTSB,https://carol.ntsb.gov/investigations/detail/17488,,True,200,,False,,url_is_none,True,keep
54,2149,NTSB,https://carol.ntsb.gov/investigations/detail/17379,,True,200,,False,,url_is_none,True,keep
55,2150,NTSB,https://carol.ntsb.gov/investigations/detail/26046,,True,200,,False,,url_is_none,True,keep
56,2151,NTSB,https://carol.ntsb.gov/investigations/detail/5021,,True,200,,False,,url_is_none,True,keep
57,2152,NTSB,https://carol.ntsb.gov/investigations/detail/30752,,True,200,,False,,url_is_none,True,keep
58,2153,NTSB,https://carol.ntsb.gov/investigations/detail/11370,,True,200,,False,,url_is_none,True,keep
59,2154,NTSB,https://carol.ntsb.gov/investigations/detail/17378,,True,200,,False,,url_is_none,True,keep
60,2155,NTSB,https://carol.ntsb.gov/investigations/detail/11422,,True,200,,False,,url_is_none,True,keep
61,2156,NTSB,https://carol.ntsb.gov/investigations/detail/40837,,True,200,,False,,url_is_none,True,keep
62,2157,NTSB,https://carol.ntsb.gov/investigations/detail/7778,,True,200,,False,,url_is_none,True,keep
63,2158,NTSB,https://carol.ntsb.gov/investigations/detail/22556,,True,200,,False,,url_is_none,True,keep
64,2159,NTSB,https://carol.ntsb.gov/investigations/detail/26045,,True,200,,False,,url_is_none,True,keep
65,2160,NTSB,https://carol.ntsb.gov/investigations/detail/17487,,True,200,,False,,url_is_none,True,keep
66,2161,NTSB,https://carol.ntsb.gov/investigations/detail/5014,,True,200,,False,,url_is_none,True,keep
67,2162,NTSB,https://carol.ntsb.gov/investigations/detail/26044,,True,200,,False,,url_is_none,True,keep
68,2163,NTSB,https://carol.ntsb.gov/investigations/detail/32026,,True,200,,False,,url_is_none,True,keep
69,2164,NTSB,https://carol.ntsb.gov/investigations/detail/26043,,True,200,,False,,url_is_none,True,keep
70,2165,NTSB,https://carol.ntsb.gov/investigations/detail/11421,,True,200,,False,,url_is_none,True,keep
71,2166,NTSB,https://carol.ntsb.gov/investigations/detail/17486,,True,200,,False,,url_is_none,True,keep
72,2167,NTSB,https://carol.ntsb.gov/investigations/detail/7787,,True,200,,False,,url_is_none,True,keep
73,2168,NTSB,https://carol.ntsb.gov/investigations/detail/5015,,True,200,,False,,url_is_none,True,keep
74,2169,NTSB,https://carol.ntsb.gov/investigations/detail/36172,,True,200,,False,,url_is_none,True,keep
75,2170,NTSB,https://carol.ntsb.gov/investigations/detail/22656,,True,200,,False,,url_is_none,True,keep
76,2171,NTSB,https://carol.ntsb.gov/investigations/detail/13946,,True,200,,False,,url_is_none,True,keep
77,2172,NTSB,https://carol.ntsb.gov/investigations/detail/14100,,True,200,,False,,url_is_none,True,keep
78,2173,NTSB,https://carol.ntsb.gov/investigations/detail/17485,,True,200,,False,,url_is_none,True,keep
